customerID,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,Churn,gender_Female,gender_Male,InternetService_DSL,InternetService_Fiber optic,InternetService_No internet service,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
7590-VHVEG,0,1,0,1,0,0,0,1,0,0,0,0,1,29.85,False,1,0,1,0,0,1,0,0,0,0,1,0
5575-GNVDE,0,0,0,34,1,0,1,0,1,0,0,0,0,56.95,False,0,1,1,0,0,0,1,0,0,0,0,1
3668-QPYBK,0,0,0,2,1,0,1,1,0,0,0,0,1,53.85,True,0,1,1,0,0,1,0,0,0,0,0,1
7795-CFOCW,0,0,0,45,0,0,1,0,1,1,0,0,0,42.3,False,0,1,1,0,0,0,1,0,1,0,0,0
9237-HQITU,0,0,0,2,1,0,0,0,0,0,0,0,1,70.7,True,1,0,0,1,0,1,0,0,0,0,1,0
9305-CDSKC,0,0,0,8,1,1,0,0,1,0,1,1,1,99.65,True,1,0,0,1,0,1,0,0,0,0,1,0
1452-KIOVK,0,0,1,22,1,1,0,1,0,0,1,0,1,89.1,False,0,1,0,1,0,1,0,0,0,1,0,0
6713-OKOMC,0,0,0,10,0,0,1,0,0,0,0,0,0,29.75,False,1,0,1,0,0,1,0,0,0,0,0,1
7892-POOKP,0,1,0,28,1,1,0,0,1,1,1,1,1,104.8,True,1,0,0,1,0,1,0,0,0,0,1,0
6388-TABGU,0,0,1,62,1,0,1,1,0,0,0,0,0,56.15,False,0,1,1,0,0,0,1,0,1,0,0,0
9763-GRSKD,0,1,1,13,1,0,1,0,0,0,0,0,1,49.95,False,0,1,1,0,0,1,0,0,0,0,0,1
7469-LKBCI,0,0,0,16,1,0,0,0,0,0,0,0,0,18.95,False,0,1,0,0,1,0,0,1,0,1,0,0
8091-TTVAX,0,1,0,58,1,1,0,0,1,0,1,1,0,100.35,False,0,1,0,1,0,0,1,0,0,1,0,0
0280-XJGEX,0,0,0,49,1,1,0,1,1,0,1,1,1,103.7,True,0,1,0,1,0,1,0,0,1,0,0,0
5129-JLPIS,0,0,0,25,1,0,1,0,1,1,1,1,1,105.5,False,0,1,0,1,0,1,0,0,0,0,1,0
3655-SNQYZ,0,1,1,69,1,1,1,1,1,1,1,1,0,113.25,False,1,0,0,1,0,0,0,1,0,1,0,0
